Country/Region,Province/State,Lat,Long,Date,Cases,Deaths,Continent
Andorra,,42.5063,1.5218,1/24/20,0,0,Europe
Andorra,,42.5063,1.5218,1/25/20,0,0,Europe
Andorra,,42.5063,1.5218,1/26/20,0,0,Europe
Andorra,,42.5063,1.5218,1/27/20,0,0,Europe
Andorra,,42.5063,1.5218,1/28/20,0,0,Europe
Andorra,,42.5063,1.5218,1/29/20,0,0,Europe
Andorra,,42.5063,1.5218,1/30/20,0,0,Europe
Andorra,,42.5063,1.5218,1/31/20,0,0,Europe
Andorra,,42.5063,1.5218,2/1/20,0,0,Europe
Andorra,,42.5063,1.5218,2/2/20,0,0,Europe
Andorra,,42.5063,1.5218,2/3/20,0,0,Europe
Andorra,,42.5063,1.5218,2/4/20,0,0,Europe
Andorra,,42.5063,1.5218,2/5/20,0,0,Europe
Andorra,,42.5063,1.5218,2/6/20,0,0,Europe
Andorra,,42.5063,1.5218,2/7/20,0,0,Europe
Andorra,,42.5063,1.5218,2/8/20,0,0,Europe
Andorra,,42.5063,1.5218,2/9/20,0,0,Europe
Andorra,,42.5063,1.5218,2/10/20,0,0,Europe
Andorra,,42.5063,1.5218,2/11/20,0,0,Europe
Andorra,,42.5063,1.5218,2/12/20,0,0,Europe
Andorra,,42.5063,1.5218,2/13/20,0,0,Europe
Andorra,,42.5063,1.5218,2/14/20,0,0,Europe
Andorra,,42.5063,1.5218,2/15/20,0,0,Europe
Andorra,,42.5063,1.5218,2/16/20,0,0,Europe
Andorra,,42.5063,1.5218,2/17/20,0,0,Europe
Andorra,,42.5063,1.5218,2/18/20,0,0,Europe
Andorra,,42.5063,1.5218,2/19/20,0,0,Europe
Andorra,,42.5063,1.5218,2/20/20,0,0,Europe
Andorra,,42.5063,1.5218,2/21/20,0,0,Europe
Andorra,,42.5063,1.5218,2/22/20,0,0,Europe
Andorra,,42.5063,1.5218,2/23/20,0,0,Europe
Andorra,,42.5063,1.5218,2/24/20,0,0,Europe
Andorra,,42.5063,1.5218,2/25/20,0,0,Europe
Andorra,,42.5063,1.5218,2/26/20,0,0,Europe
Andorra,,42.5063,1.5218,2/27/20,0,0,Europe
Andorra,,42.5063,1.5218,2/28/20,0,0,Europe
Andorra,,42.5063,1.5218,2/29/20,0,0,Europe
Andorra,,42.5063,1.5218,3/1/20,0,0,Europe
Andorra,,42.5063,1.5218,3/2/20,1,0,Europe
Andorra,,42.5063,1.5218,3/3/20,1,0,Europe
Andorra,,42.5063,1.5218,3/4/20,1,0,Europe
Andorra,,42.5063,1.5218,3/5/20,1,0,Europe
Andorra,,42.5063,1.5218,3/6/20,1,0,Europe
Andorra,,42.5063,1.5218,3/7/20,1,0,Europe
Andorra,,42.5063,1.5218,3/8/20,1,0,Europe
Andorra,,42.5063,1.5218,3/9/20,1,0,Europe
Andorra,,42.5063,1.5218,3/10/20,1,0,Europe
Andorra,,42.5063,1.5218,3/11/20,1,0,Europe
Andorra,,42.5063,1.5218,3/12/20,1,1,Europe
Andorra,,42.5063,1.5218,3/13/20,1,0,Europe
Andorra,,42.5063,1.5218,3/14/20,1,1,Europe
Andorra,,42.5063,1.5218,3/15/20,1,1,Europe
Andorra,,42.5063,1.5218,3/16/20,2,1,Europe
Andorra,,42.5063,1.5218,3/17/20,39,1,Europe
Andorra,,42.5063,1.5218,3/18/20,39,1,Europe
Andorra,,42.5063,1.5218,3/19/20,53,1,Europe
Andorra,,42.5063,1.5218,3/20/20,75,1,Europe
Andorra,,42.5063,1.5218,3/21/20,88,1,Europe
Andorra,,42.5063,1.5218,3/22/20,113,1,Europe
Andorra,,42.5063,1.5218,3/23/20,133,1,Europe
Andorra,,42.5063,1.5218,3/24/20,164,1,Europe
Andorra,,42.5063,1.5218,3/25/20,188,1,Europe
Andorra,,42.5063,1.5218,3/26/20,224,1,Europe
Andorra,,42.5063,1.5218,3/27/20,267,1,Europe
Andorra,,42.5063,1.5218,3/28/20,308,1,Europe
Andorra,,42.5063,1.5218,3/29/20,334,1,Europe
Andorra,,42.5063,1.5218,3/30/20,370,10,Europe
Andorra,,42.5063,1.5218,3/31/20,376,10,Europe
